GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
model.common.impl,com.hack23.cia.model.common.impl,AbstractModelObjectImpl,3,0,0,0,1,0,1,0,1,0
model.common.impl,com.hack23.cia.model.common.xml,XmlTimeTypeAdapter,9,89,0,16,4,31,1,15,1,7
