GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenBallotApiImpl,68,217,10,10,14,49,8,9,0,7
service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenPersonApiImpl,19,39,0,0,6,9,0,4,0,4
service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenCommitteeProposalApiImpl,10,25,0,0,3,6,0,3,0,3
service.external.riksdagen,com.hack23.cia.service.external.riksdagen.impl,RiksdagenDocumentApiImpl,82,240,1,9,22,48,1,16,0,12
service.external.riksdagen,com.hack23.cia.service.external.riksdagen.api,DocumentTypeNames,366,0,0,0,35,0,6,0,6,0
service.external.riksdagen,com.hack23.cia.service.external.riksdagen.api,DataFailureException,4,0,0,0,2,0,1,0,1,0
